Meiothermus_silvanus,52022
Microbacterium_foliorum,104336
Microbacterium_gubbeenense,159896
Microbacterium_lacticum,33885
Microbacterium_oxydans,82380
Micrococcus_luteus,1270
Moraxella_osloensis,34062
Morganella_morganii,582
Morganella_psychrotolerans,368603
Mycobacterium_vaccae,1810
Ornithinibacillus_bavariensis,545502
Paenibacillus_lactis,228574
Paludibacter_propionicigenes,185300
Pantoea_agglomerans,549
Pediococcus_acidilactici,1254
Pediococcus_pentosaceus,1255
Pediococcus_stilesii,331679
Porphyromonas_levii,28114
Propionibacterium_acidipropionici,1748
Propionibacterium_acnes,1747
Propionibacterium_freudenreichii,1744
Propionibacterium_freudenreichii_subsp_freudenreichii,66712
Propionibacterium_freudenreichii_subsp_shermanii,1752
Propionibacterium_jensenii,1749
Propionibacterium_thoenii,1751
Proteus_hauseri,183417
Proteus_vulgaris,585
Providencia_alcalifaciens,126385
Providencia_heimbachae,333962
Providencia_rettgeri,587
Pseudoclavibacter_helvolus,255205
Pseudomonas_asplenii,53407
Pseudomonas_fluorescens,294
Pseudomonas_fragi,296
Pseudomonas_lundensis,86185
Pseudomonas_marginalis,298
Pseudomonas_putida,303
Psychrobacter_aquimaris,292733
Psychrobacter_celer,306572
Psychrobacter_faecalis,180588
Psychrobacter_immobilis,498
Psychrobacter_namhaensis,292734
Raoultella_ornithinolytica,54291
Raoultella_planticola,575
Reyranella_massiliensis,445220
Rhodanobacter_glycinis,582702
Rothia_mucilaginosa,43675
Salmonella_enterica_subsp_enterica_serovar_Typhimurium,90371
Serratia_marcescens,615
Serratia_proteamaculans,28151
Serratia_rubidaea,61652
Sphingobacterium_faecium,34087
Staphylococcus_aureus,1280
Staphylococcus_capitis,29388
Staphylococcus_caprae,29380
Staphylococcus_chromogenes,46126
Staphylococcus_cohnii,29382
Staphylococcus_epidermidis,1282
Staphylococcus_equorum,246432
Staphylococcus_equorum_subsp_equorum,29383
Staphylococcus_equorum_subsp_linens,201829
Staphylococcus_fleurettii,150056
Staphylococcus_haemolyticus,1283
Staphylococcus_hominis,1290
Staphylococcus_lentus,42858
Staphylococcus_sciuri,1296
Staphylococcus_sciuri_subsp_sciuri,147467
Staphylococcus_succinus,61015
Staphylococcus_succinus_subsp_casei,201828
Staphylococcus_vitulinus,71237
Staphylococcus_warneri,1292
Staphylococcus_xylosus,1288
Stenotrophomonas_indologenes,1255683
Stenotrophomonas_maltophilia,40324
Stenotrophomonas_rhizophila,216778
Streptococcus_infantarius_subsp_infantarius,150054
Streptococcus_lutetiensis,150055
Streptococcus_macedonicus,59310
Streptococcus_parauberis,1348
Streptococcus_pneumoniae,1313
Streptococcus_salivarius,1304
Streptococcus_thermophilus,1308
Streptococcus_uberis,1349
Streptococcus_vestibularis,1343
Terrisporobacter_mayombei,1541
Tetragenococcus_halophilus,51669
Thermus_thermophilus,274
Vagococcus_fluvialis,2738
Vagococcus_lutrae,81947
Vibrio_casei,673372
Vibrio_litoralis,335972
Weissella_cibaria,137591
Weissella_hellenica,46256
Weissella_paramesenteroides,1249
Yarrowia_lipolytica,4952
